dist-code,dist-name,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
0,! Doe Inactive,Livermore Falls Middle School,221,117,52.94,21,9.5,138,62.44
0,! Doe Inactive,Sabattus Central School,341,104,30.5,33,9.68,137,40.18
0,! Doe Inactive,Wales Central School,166,50,30.12,20,12.05,70,42.17
1007,Auburn School Department,Auburn Middle School,485,201,41.44,29,5.98,230,47.42
1007,Auburn School Department,East Auburn Community School,163,67,41.1,21,12.88,88,53.99
1007,Auburn School Department,Edward Little High School,1111,418,37.62,50,4.5,468,42.12
1007,Auburn School Department,Fairview School,522,142,27.2,24,4.6,166,31.8
1007,Auburn School Department,Park Avenue Elementary School,356,189,53.09,19,5.34,208,58.43
1007,Auburn School Department,Sherwood Heights Elementary Sch,442,252,57.01,24,5.43,276,62.44
1007,Auburn School Department,Walton School,266,167,62.78,24,9.02,191,71.8
1007,Auburn School Department,Washburn School,246,163,66.26,14,5.69,177,71.95
1088,Lewiston School Department,Farwell Elementary School,382,217,56.81,25,6.54,242,63.35
1088,Lewiston School Department,Governor James B Longley Elem Sch,288,280,97.22,0,0,280,97.22
1088,Lewiston School Department,Lewiston High School,1395,635,45.52,65,4.66,700,50.18
1088,Lewiston School Department,Lewiston Middle School,647,359,55.49,36,5.56,395,61.05
1088,Lewiston School Department,Martel School,294,178,60.54,19,6.46,197,67.01
1088,Lewiston School Department,Montello School,730,541,74.11,37,5.07,578,79.18
1088,Lewiston School Department,Raymond A. Geiger Elementary School,680,368,54.12,41,6.03,409,60.15
1088,Lewiston School Department,Thomas J Mcmahon Elementary Sch,464,241,51.94,27,5.82,268,57.76
1092,Lisbon School Department,Lisbon Community School,585,212,36.24,56,9.57,268,45.81
1092,Lisbon School Department,Lisbon High School,403,114,28.29,40,9.93,154,38.21
1092,Lisbon School Department,Philip W Sugg Middle School,304,107,35.2,30,9.87,137,45.07
5099,N F I North,N.F.I. Dirigo Place,7,7,100,0,0,7,100
5099,N F I North,N.F.I.Dodge House,6,6,100,0,0,6,100
5702,New Beginnings,New Beginnings Shelter,12,12,100,0,0,12,100
3157,Rsu 04,Oak Hill High School,521,156,29.94,51,9.79,207,39.73
3157,Rsu 04,Sabattus Primary School,171,72,42.11,15,8.77,87,50.88
3158,Rsu 05,Durham Elementary School,378,74,19.58,30,7.94,104,27.51
3163,Rsu 16,Bruce M Whittier Middle School,127,24,18.9,12,9.45,36,28.35
3163,Rsu 16,Elm Street School-Mechanic Falls,322,144,44.72,37,11.49,181,56.21
3163,Rsu 16,Minot Consolidated School,263,62,23.57,26,9.89,88,33.46
3163,Rsu 16,Poland Community School,432,138,31.94,61,14.12,199,46.06
3163,Rsu 16,Poland Regional H S,436,134,30.73,37,8.49,171,39.22
1246,Rsu 52/Msad 52,Greene Central School,369,98,26.56,40,10.84,138,37.4
1246,Rsu 52/Msad 52,Leavitt Area High School,633,148,23.38,45,7.11,193,30.49
1246,Rsu 52/Msad 52,Leeds Central School,201,69,34.33,18,8.96,87,43.28
1246,Rsu 52/Msad 52,Tripp Middle School,344,90,26.16,34,9.88,124,36.05
1246,Rsu 52/Msad 52,Turner Elementary School,214,60,28.04,26,12.15,86,40.19
1246,Rsu 52/Msad 52,Turner Primary School,287,70,24.39,34,11.85,104,36.24
3198,Rsu 73,Livermore Elementary School,424,244,57.55,27,6.37,271,63.92
3198,Rsu 73,Spurce Mt Hs South (Livermore Falls Hs),330,131,39.7,39,11.82,170,51.52
5728,Rumford Group Home,Turner Family Support,4,4,100,0,0,4,100
1375,Spurwink School Inc,Spurwink Services--Auburn,27,19,70.37,1,3.7,20,74.07
1360,St Dominic Academy,St Dominick Academy,302,18,5.96,25,8.28,43,14.24
1396,Sweetser Children'S Services,Zzz Lewiston Family Focus,5,2,40,0,0,2,40
5057,University Of Maine 4 H Camp & Learning Center,University Of Maine 4 H Learning Center,0,0,0,0,0,0,0
0,! Doe Inactive,Little Brothers Shelter - Westbrook,7,4,57.14,0,0,4,57.14
1033,Caswell School Department,Dawn F Barnes Elementary Sch,39,30,76.92,6,15.38,36,92.31
5602,Connor Consolidated School,Connor Consolidated School,39,15,38.46,12,30.77,27,69.23
1053,Easton School Department,Easton Elementary School,136,55,40.44,16,11.76,71,52.21
1053,Easton School Department,Easton Junior-Senior High Sch,65,21,32.31,5,7.69,26,40
1097,Madawaska School Department,Madawaska Elementary School,260,96,36.92,17,6.54,113,43.46
1097,Madawaska School Department,Madawaska Middle/High School,351,90,25.64,33,9.4,123,35.04
1221,Msad 27,Eagle Lake Elem/Jr High School,98,44,44.9,12,12.24,56,57.14
1221,Msad 27,Fort Kent Community High School,348,106,30.46,30,8.62,136,39.08
1221,Msad 27,Fort Kent Elementary School,466,176,37.77,50,10.73,226,48.5
1221,Msad 27,St Francis Elementary School,67,26,38.81,6,8.96,32,47.76
1221,Msad 27,Wallagrass Elementary School,87,30,34.48,16,18.39,46,52.87
1116,New Sweden School Department,New Sweden Consolidated School,81,42,51.85,9,11.11,51,62.96
1386,Opportunity Training Center,Opportunity Training Center,25,17,68,3,12,20,80
1223,Rsu 29/Msad 29,Houlton Elementary School,382,205,53.66,29,7.59,234,61.26
1223,Rsu 29/Msad 29,Houlton High School,400,169,42.25,26,6.5,195,48.75
1223,Rsu 29/Msad 29,Houlton Junior High School,190,86,45.26,19,10,105,55.26
1223,Rsu 29/Msad 29,Houlton Southside School,282,128,45.39,28,9.93,156,55.32
1223,Rsu 29/Msad 29,Wellington School,74,42,56.76,10,13.51,52,70.27
1226,Rsu 32/Msad 32,Zzz Ashland Central School,148,66,44.59,24,16.22,90,60.81
1226,Rsu 32/Msad 32,Zzz Ashland Community High School,165,84,50.91,26,15.76,110,66.67
1227,Rsu 33/Msad 33,Dr Levesque Elementary School,155,66,42.58,15,9.68,81,52.26
1227,Rsu 33/Msad 33,Wisdom Middle High School,133,43,32.33,12,9.02,55,41.35
3174,Rsu 39,Caribou High School,551,178,32.3,37,6.72,215,39.02
3174,Rsu 39,Caribou Middle School,416,168,40.38,36,8.65,204,49.04
3174,Rsu 39,Hilltop Elementary School,337,152,45.1,25,7.42,177,52.52
3174,Rsu 39,Limestone Community School,280,148,52.86,46,16.43,194,69.29
3174,Rsu 39,Teague Park School,184,77,41.85,6,3.26,83,45.11
1236,Rsu 42/Msad 42,Central Aroostook Jr-Sr H S,212,81,38.21,22,10.38,103,48.58
1236,Rsu 42/Msad 42,Fort Street School,254,96,37.8,16,6.3,112,44.09
1239,Rsu 45/Msad 45,Washburn District Elem School,272,127,46.69,22,8.09,149,54.78
1239,Rsu 45/Msad 45,Washburn District High School,116,38,32.76,9,7.76,47,40.52
3199,Rsu 50,So Aroostook Csd School,427,281,65.81,56,13.11,337,78.92
1262,Rsu 70/Msad 70,Mill Pond School,358,195,54.47,31,8.66,226,63.13
1262,Rsu 70/Msad 70,Sad 70 Hodgdon High School,168,66,39.29,18,10.71,84,50
1196,Rsu 79/Msad 01,Eva Hoyt Zippel School,348,160,45.98,35,10.06,195,56.03
1196,Rsu 79/Msad 01,Mapleton Elementary School,210,64,30.48,22,10.48,86,40.95
1196,Rsu 79/Msad 01,Pine Street Elementary School,365,181,49.59,33,9.04,214,58.63
1196,Rsu 79/Msad 01,Presque Isle High School,593,193,32.55,51,8.6,244,41.15
1196,Rsu 79/Msad 01,Presque Isle Middle School,440,172,39.09,42,9.55,214,48.64
1214,Rsu 86/Msad 20,Fort Fairfield Elementary School,276,158,57.25,29,10.51,187,67.75
1214,Rsu 86/Msad 20,Fort Fairfield Middle/High School,283,118,41.7,46,16.25,164,57.95
1218,Rsu 88/Msad 24,Van Buren District Secondary Sch,146,58,39.73,13,8.9,71,48.63
1218,Rsu 88/Msad 24,Van Buren Elementary School,237,122,51.48,22,9.28,144,60.76
5607,Sinclair School,Sinclair School,8,4,50,2,25,6,75
